community_id,snapshot_id,rule_flag,predicted_probability,predicted_label,ground_truth_label,verification_status
2,8,0,0.5179475981467755,1,0,Reinforced Fake
0,5,0,0.734677026087861,1,0,Uncertain
4,7,0,0.7015500176733092,1,0,Uncertain
2,4,0,0.5473336932667897,1,1,Reinforced Fake
4,4,0,0.336199057047767,0,0,Not Checked
3,3,0,0.2912887087026206,0,0,Not Checked
7,2,0,0.6916557182061466,1,1,Reinforced Fake
3,8,0,0.33078149080677643,0,1,Not Checked
1,1,0,0.33822979271782727,0,0,Not Checked
0,0,0,0.28554788786566077,0,0,Not Checked
8,1,0,0.5291908356828051,1,1,Uncertain
9,3,0,0.648720136733892,1,1,Reinforced Fake
5,7,0,0.5160586242093652,1,0,Uncertain
4,3,0,0.5002116666719684,1,1,Uncertain
6,9,0,0.6925969324916403,1,0,Uncertain
6,0,0,0.3581282846555248,0,1,Not Checked
3,7,0,0.3189302826619656,0,1,Not Checked
0,7,0,0.8479267911395351,1,1,Uncertain
7,1,0,0.4500835700738764,0,1,Not Checked
0,3,0,0.21881596310681084,0,1,Not Checked
2,5,0,0.6362577540507991,1,1,Uncertain
7,8,0,0.47092989618062275,0,1,Not Checked
2,2,0,0.7897787724832934,1,1,Reinforced Fake
9,4,0,0.6373484116997895,1,0,Reinforced Fake
8,6,0,0.6842440298316124,1,0,Uncertain
3,1,0,0.24794997597277674,0,1,Not Checked
5,4,0,0.7729985837023257,1,1,Reinforced Fake
2,9,0,0.5713766615207575,1,1,Uncertain
1,0,0,0.45997944479287045,0,1,Not Checked
9,7,0,0.524256244606057,1,1,Uncertain
